,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330
0,46,3,0,0,2,0,0,11,1,5,0,0,4,14,0,2,4,10,1,1,1,4,6,6,25,1,0,43,0,0,0,6,2,52,5,3,0,0,3,4,7,0,0,0,0,0,0,4,4,1,0,14,0,1,0,10,0,10,1,0,1,1,0,0,1,25,2,0,0,0,0,1,1,0,4,6,0,25,7,0,2,1,5,5,0,1,0,1,0,1,1,2,4,1,2,0,6,0,0,2,0,2,1,1,0,50,7,4,0,0,0,0,1,2,10,32,5,0,0,0,9,4,10,1,0,0,0,1,0,0,5,3,13,2,1,1,0,10,0,0,0,0,1,28,3,0,2,3,12,0,0,0,11,11,3,0,0,3,2,13,11,4,2,0,0,1,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,17,15,0,1,0,0,1,5,0,1,5,0,2,0,0,0,1,11,10,58,7,2,0,0,3,0,5,3,0,0,0,1,4,1,10,0,11,1,13,76,7,36,34,7,2,0,5,14,14,43,0,7,16,12,7,15,5,0,5,19,8,0,5,1,2,0,8,8,42,45,9,0,0,6,14,7,8,4,47,8,40,2,6,6,13,9,2,15,2,33,52,0,0,5,1,9,0,18,7,10,3,11,4,55,17,1,1,0,24,28,18,17,9,23,2,1,4,20,0,2,0,10,0,0,7,12,0,9,2,2,2,0,0,1,2,0,4,6,0,0,1,0,12,3,6,11,2027
1,5,16,4,0,10,0,0,18,2,1,0,0,56,62,1,51,30,1,1,1,9,4,0,4,0,0,14,1,0,1,0,0,6,7,1,29,0,1,5,3,14,0,0,1,0,1,0,4,2,9,6,11,2,0,5,46,0,0,1,0,0,7,12,4,1,1,19,0,0,0,0,19,1,0,5,1,0,4,5,0,0,0,7,11,2,6,0,5,3,0,13,12,1,15,8,9,16,1,2,4,0,0,2,8,2,17,11,4,0,4,1,0,7,0,44,8,22,14,1,2,6,16,2,2,0,0,0,1,0,0,3,10,14,30,2,1,3,3,2,0,32,0,5,8,0,8,1,0,17,0,0,0,1,16,11,0,0,9,13,10,0,3,17,6,1,0,11,5,7,0,0,0,1,0,1,2,0,0,0,0,1,12,1,3,1,3,0,2,3,0,4,0,1,0,4,2,50,0,0,0,0,1,1,60,6,5,0,0,2,5,0,12,1,0,2,7,1,0,4,0,3,1,2,1,1,1,1,5,1,1,1,2,2,2,0,4,4,2,0,0,6,0,0,1,11,1,1,3,3,0,2,3,2,1,2,0,3,7,3,0,0,1,0,1,5,1,0,7,2,0,6,3,0,3,3,1,9,1,4,2,0,2,2,0,1,0,4,1,0,0,0,2,14,0,7,0,8,0,1,2,1,4,0,8,1,0,1,0,1,0,0,2,0,2,0,0,1,1,14,0,1,5,6,23,2,0,0,0,0,39,1549
2,0,1,21,0,0,0,1,0,0,1,0,0,0,3,0,54,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,5,1,0,5,2,13,1,1,0,0,0,0,0,0,0,0,0,8,7,5,0,0,0,1,0,22,0,0,0,5,5,6,0,1,6,0,0,0,0,4,0,0,0,0,0,0,3,0,1,2,2,0,15,5,0,3,1,3,7,7,1,20,5,9,0,0,1,10,0,2,10,15,0,0,4,0,0,5,2,0,0,1,0,1,10,3,5,4,2,0,2,7,0,3,4,4,0,0,0,0,0,1,2,1,0,0,0,0,17,0,0,0,0,6,12,0,2,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,16,10,0,0,0,1,7,2,3,0,0,0,0,0,4,9,0,0,1,0,0,0,16,0,13,4,13,0,3,0,16,0,0,0,0,0,0,12,7,5,8,0,2,5,0,1,0,0,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,2,4,0,0,0,0,0,1,0,0,1,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,5,1,0,5,2,5,1,0,1,4,1,4,0,0,0,1,0,0,17,11,5,0,0,0,0,0,1,684
3,0,0,1,16,0,0,18,0,0,0,6,4,2,1,0,0,0,0,5,2,2,0,0,0,0,0,0,0,1,3,8,0,0,0,0,1,1,14,3,0,0,6,12,2,3,24,4,1,2,0,0,1,0,0,0,0,6,0,0,11,8,0,0,0,0,0,0,25,4,9,18,0,5,3,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,20,0,0,6,0,1,0,0,1,0,0,0,5,8,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,1,2,0,0,0,2,12,5,0,0,1,1,8,2,4,0,0,13,22,18,0,0,1,1,7,0,0,1,2,0,1,0,67,0,2,2,0,1,3,0,4,1,0,6,15,13,2,15,0,1,2,0,0,0,4,0,0,5,0,0,3,5,0,22,0,4,1,14,9,0,0,0,0,2,9,2,1,0,0,0,21,0,1,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,3,0,0,0,4,3,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,0,2,0,0,1,0,0,1,0,0,0,3,0,7,1,0,0,0,0,0,0,0,0,0,1,0,1,716
4,10,8,0,0,41,0,0,16,0,0,4,0,2,12,2,7,6,19,1,2,8,12,3,75,7,3,3,78,0,0,0,8,2,2,8,8,0,0,9,6,12,0,0,0,0,0,0,22,1,4,4,7,11,1,12,3,0,1,0,0,0,4,0,0,0,7,5,0,0,2,1,2,0,0,12,5,0,16,17,0,1,0,24,10,0,1,0,5,9,0,7,1,6,0,6,0,1,3,1,9,0,5,0,4,3,57,5,3,0,1,0,0,18,6,7,6,5,0,0,0,19,8,10,5,0,0,0,0,0,0,16,23,13,13,2,0,2,4,0,0,1,0,16,23,11,1,2,6,9,0,0,1,1,17,16,0,0,11,3,3,6,21,24,10,0,1,0,1,69,0,0,0,1,0,3,0,0,0,0,0,0,2,34,4,14,35,1,0,0,0,10,1,2,0,0,0,0,0,0,0,0,16,7,28,2,5,1,0,2,9,25,118,2,0,10,10,2,0,63,0,32,3,78,16,20,4,32,45,4,0,1,37,12,131,0,18,101,20,0,8,25,3,12,4,13,0,16,6,18,7,8,53,18,13,8,0,18,7,11,7,24,6,24,51,44,15,7,6,82,3,51,49,7,13,2,1,0,45,11,4,1,8,71,1,12,29,12,17,12,0,13,5,80,2,260,1,91,8,12,9,5,11,0,7,1,18,0,15,19,4,0,23,4,15,0,0,0,7,7,0,0,7,1,4,4,0,9,4,2,5,3560
5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,3,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1,6,0,1,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138
6,0,0,0,24,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,2,13,0,0,0,0,2,0,5,3,1,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,15,3,3,0,0,3,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,0,0,0,0,1,1,1,2,13,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,9,9,1,0,0,0,0,0,0,8,7,0,0,0,1,0,0,0,0,0,7,6,8,0,0,0,0,3,6,1,0,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,2,7,2,1,8,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,5,1,0,0,4,1,0,0,0,0,0,5,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,7,0,0,0,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,301
7,19,16,0,0,52,0,1,44,3,1,0,0,4,19,2,39,4,25,0,2,28,17,4,30,4,3,20,32,0,0,0,20,3,10,3,38,0,0,6,14,15,0,0,0,0,0,0,16,8,13,27,25,15,2,19,12,0,0,6,0,0,5,6,8,1,0,13,0,2,1,0,14,0,0,44,4,0,125,27,0,4,0,38,36,0,1,0,8,5,7,32,9,5,0,3,11,11,1,1,20,1,0,4,0,2,8,7,5,0,0,0,0,3,6,54,33,18,3,0,1,20,21,24,1,0,0,3,0,2,0,51,52,22,30,3,2,7,2,0,0,12,0,12,24,0,26,10,2,5,0,0,0,1,75,40,0,0,59,5,36,5,32,51,14,0,0,4,4,8,0,0,0,1,3,7,0,0,0,1,0,0,7,16,9,57,53,0,0,0,0,6,0,0,0,9,0,17,0,0,0,0,22,7,72,9,5,1,0,14,14,9,30,0,0,9,26,3,2,18,0,7,11,23,23,13,4,7,41,2,16,0,11,8,39,0,7,32,25,1,1,5,3,6,3,26,2,3,2,8,2,3,6,12,20,3,1,19,13,14,10,12,5,15,5,9,7,0,8,36,4,24,34,0,10,2,0,1,14,9,2,3,7,55,0,4,4,11,17,6,2,6,1,17,0,95,0,10,8,3,4,14,3,0,1,0,3,0,1,22,1,1,10,6,10,0,0,0,7,28,0,3,9,1,29,2,0,7,1,0,31,3372
8,1,2,0,0,4,0,0,5,11,0,0,0,3,5,3,14,1,0,2,0,2,1,0,9,1,0,0,4,0,0,0,3,1,0,0,12,0,0,1,4,3,0,0,0,0,0,0,0,1,2,3,3,1,0,3,5,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,4,3,0,0,1,7,5,0,0,1,6,2,1,3,0,0,2,0,0,1,0,0,6,0,0,1,2,2,1,3,1,0,0,2,0,3,4,3,4,3,2,0,0,0,1,6,0,0,2,0,0,0,0,9,5,7,0,1,0,0,0,2,0,2,2,2,7,0,0,2,0,4,0,0,0,0,3,6,0,0,5,1,0,2,3,8,1,0,1,2,1,3,0,0,0,0,3,0,0,0,1,0,0,0,4,1,4,5,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,0,1,4,0,0,1,1,1,0,1,0,8,2,1,0,0,0,0,1,0,0,0,0,3,2,0,0,1,1,0,3,1,0,0,0,1,0,2,2,1,1,2,1,1,1,0,0,1,6,1,0,0,0,0,0,2,1,0,1,1,0,5,3,1,2,0,0,0,4,3,1,0,0,2,1,0,0,1,2,1,0,2,0,1,0,2,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,5,2,0,2,0,0,0,2,4,0,0,1,1,13,0,0,0,0,0,4,443
9,8,0,1,0,1,0,0,2,0,14,0,0,2,2,0,1,2,11,0,10,0,12,6,3,11,0,0,8,0,0,0,0,0,1,13,0,0,0,1,3,2,0,0,0,0,0,0,0,2,1,2,1,0,0,3,0,0,0,0,0,0,0,0,3,0,5,1,0,0,0,0,0,0,0,1,8,0,1,6,0,7,0,4,1,0,0,0,0,1,0,0,2,27,0,0,2,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,5,2,0,3,2,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,4,0,0,0,2,9,0,0,0,0,3,2,27,0,0,2,0,0,0,0,10,4,0,0,0,1,0,1,16,1,1,1,0,17,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,5,0,3,0,0,0,1,1,4,0,0,1,3,14,18,3,0,8,1,4,10,0,20,10,2,10,2,2,37,2,1,1,13,8,2,31,3,2,0,17,2,2,0,10,0,7,4,4,30,4,32,23,1,1,3,19,11,2,4,25,1,14,0,40,10,5,14,4,12,19,50,8,14,0,1,5,3,3,13,6,10,4,11,14,8,12,3,3,13,24,4,15,10,6,1,15,13,9,39,0,0,1,8,0,1,1,20,0,12,3,9,1,0,4,3,2,0,8,0,0,0,0,9,7,2,4,1,1426
